run,sample_name
SRR12587956,Hyper-saline (Recovery from 65 ppt seawater)
SRR12587957,Hyper-saline (Recovery from 65 ppt seawater)
SRR12587958,Hyper-saline (65 ppt seawater)
SRR12587959,Hyper-saline (65 ppt seawater)
SRR12587960,Control (32.5 ppt seawater)
SRR12587961,Control (32.5 ppt seawater)
SRR12587962,Hypo-saline (3.25 ppt seawater)
SRR12587963,Hypo-saline (3.25 ppt seawater)
