task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	50/fc4c83	216	getReadFTP (1)	CACHED	0	2025-07-08 13:12:04.525	33.7s	4.3s	6.0%	40.7 MB	51.4 MB	5.3 MB	13.3 KB
2	2e/9c6152	217	downloadReadFTP (1)	CACHED	0	2025-07-08 13:12:38.450	22m 5s	21m 50s	1.2%	18.7 MB	31.1 MB	6.7 GB	4.5 GB
4	32/b4a650	224	bbduk (1)	CACHED	0	2025-07-08 13:34:43.828	8m 5s	7m 45s	413.6%	4.1 GB	48.7 GB	40.5 GB	40.6 GB
3	f1/19a3b0	1431	raw_fastqc (1)	CACHED	0	2025-07-12 19:04:03.156	10m 14s	9m 53s	95.7%	323.8 MB	3.4 GB	4.5 GB	3.9 MB
5	7a/589463	1432	trimmed_fastqc (1)	CACHED	0	2025-07-12 19:04:03.237	11m 39s	11m 17s	91.1%	279.4 MB	3.4 GB	4.6 GB	4 MB
6	b6/2b9e57	1433	trinity	CACHED	0	2025-07-12 19:04:03.325	15h 58m 19s	15h 57m 38s	328.0%	123.3 GB	201.3 GB	1.1 TB	626.8 GB
7	ab/7642d6	1439	raw_multiqc	CACHED	0	2025-07-12 19:14:17.624	35.1s	6.1s	175.0%	113 MB	10.3 GB	44.6 MB	17.8 MB
8	ae/6578c6	1441	trimmed_multiqc	CACHED	0	2025-07-12 19:15:43.332	34.1s	4.1s	262.1%	99.2 MB	10.3 GB	44.6 MB	17.8 MB
9	38/f622b9	1464	transdecoder	CACHED	0	2025-07-13 11:02:22.594	11m 9s	10m 38s	107.1%	921.1 MB	10.4 GB	1.1 GB	423.4 MB
12	34/a05d04	1465	salmonIndex	CACHED	0	2025-07-13 11:02:22.791	1m 9s	50.8s	188.1%	240.9 MB	842.1 MB	1.9 GB	374.2 MB
10	46/650f6d	1522	transrate	COMPLETED	0	2025-07-13 19:24:36.476	33.8s	19.1s	34.7%	239 MB	444.7 MB	84 MB	2.5 MB
14	ae/64bc30	1524	salmonQuant (1)	COMPLETED	0	2025-07-13 19:24:36.804	4m 14s	3m 59s	448.0%	627.7 MB	975.1 MB	4.8 GB	3.6 MB
11	a7/317547	1521	busco	COMPLETED	0	2025-07-13 19:24:36.360	16m 29s	15m 54s	299.6%	1.9 GB	185.8 GB	10.4 GB	6 GB
13	28/f5f028	1523	eggNOG_mapper	COMPLETED	0	2025-07-13 19:24:36.636	10h 23m 20s	10h 23m 9s	196.6%	6.8 GB	9.9 GB	97.2 GB	1016.2 MB
