task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	bd/1646b5	1109	getReadFTP (1)	CACHED	0	2025-07-10 20:51:35.929	34.5s	7.3s	4.1%	39.3 MB	51.4 MB	5.3 MB	12.4 KB
2	da/165f29	1110	downloadReadFTP (1)	CACHED	0	2025-07-10 20:52:10.681	12m 55s	12m 32s	0.8%	19.2 MB	31.1 MB	2.6 GB	1.7 GB
3	72/7f8dc7	1111	bbduk (1)	CACHED	0	2025-07-10 21:05:05.571	2m	1m 51s	413.9%	2.3 GB	48.8 GB	11 GB	11 GB
4	b4/1d8751	1119	raw_fastqc (1)	CACHED	0	2025-07-10 21:28:35.931	3m 4s	2m 8s	101.3%	263.6 MB	3.4 GB	1.7 GB	3.8 MB
6	64/323265	1385	trinity	CACHED	0	2025-07-12 02:32:22.738	3h 1m 56s	3h 1m 40s	1244.4%	7.4 GB	201.4 GB	534.2 GB	253.4 GB
7	08/65e423	1126	raw_multiqc	CACHED	0	2025-07-10 22:08:49.063	31.7s	9.3s	71.9%	111.7 MB	10.3 GB	44.5 MB	17.9 MB
11	82/312f52	1389	salmonIndex	CACHED	0	2025-07-12 05:34:19.471	1m 10s	25.4s	182.6%	159.5 MB	503.1 MB	1 GB	211 MB
5	8f/0ceb88	1120	trimmed_fastqc (1)	CACHED	0	2025-07-10 21:28:36.001	2m 19s	2m 12s	102.9%	290 MB	3.4 GB	1.8 GB	3.9 MB
10	46/29c190	1388	transdecoder	CACHED	0	2025-07-12 05:34:19.395	7m 45s	6m 58s	112.9%	513.7 MB	10.4 GB	689.2 MB	280.5 MB
8	ce/9abb43	1485	transrate	CACHED	0	2025-07-13 18:01:28.795	34.1s	4.3s	79.7%	167.8 MB	373.4 MB	46.9 MB	1.4 MB
12	25/681e48	1410	salmonQuant (1)	CACHED	0	2025-07-12 15:40:14.479	1m 9s	47.9s	469.6%	496.4 MB	996.6 MB	1.8 GB	2.1 MB
14	ad/f6615e	1125	trimmed_multiqc	CACHED	0	2025-07-10 22:08:48.972	31.8s	9.3s	65.4%	110.4 MB	10.3 GB	44.6 MB	17.9 MB
13	5d/dd1344	1409	eggNOG_mapper	CACHED	0	2025-07-12 15:40:14.403	23h 6m 3s	23h 5m 40s	87.5%	6.8 GB	9.9 GB	81.7 GB	651 MB
9	72/c779bd	1497	busco	COMPLETED	0	2025-07-13 18:39:26.519	9m 8s	8m 14s	363.0%	1.8 GB	125.9 GB	7.1 GB	3.6 GB
